avgRainMm,avgTempC,carbonEmissionsKtns,cropDrainedCarbonKtns,cropDrainedNitrogenKtns,dryBeansHgha,greenCoffeeHgha,manureLeachedSoilKg,manureNormalSoilKg,manureVolatiliseSoilKg,methaneEmissionsKtns,nitrogenEmissionsKtns,nitrogenKgha,pesticidesKgha,phosphateKgha,potashKgha,potatoesHgha,riceHgha,teaLeavesHgha
769.98,24.66,2050.4602,71.9638,0.0286,8382.0,6786.0,1849159.2753409997,6163864.2511365,1232772.8502273334,2327.7021,132.2035,8.98,0.63,9.09,1.44,88655.0,30984.0,20313.0
613.45,24.77,1882.3616,71.9638,0.0286,6651.0,5560.0,1767601.0702436666,5892003.567478833,1178400.7134958333,2244.0912,127.3219,9.4,0.62,9.7,1.11,113356.0,38846.0,20232.0
650.02,24.67,2005.04,71.9638,0.0286,7641.0,5546.0,1760201.3571499998,5867337.857166667,1173467.5714333334,2234.333,126.5212,8.28,0.6,7.93,1.44,92975.0,35362.0,18466.0
639.11,24.58,1995.5128,71.9638,0.0286,6508.0,4747.0,1705207.380935,5684024.603116666,1136804.9206233332,2223.5966,124.9767,7.6,0.63,9.4,1.05,117490.0,41483.0,20137.0
737.47,24.75,2235.141,71.9638,0.0286,4319.0,5035.0,1715989.2492165,5719964.164055,1143992.832811,2230.7704000000003,126.6279,8.56,0.58,11.97,1.35,97108.0,43559.0,19000.0
663.76,24.96,2354.9048,75.4892,0.0298,5217.0,5944.0,1747884.5285099999,5826281.761700001,1165256.35234,2223.2826,124.4058,5.58,0.78,6.76,0.91,96575.0,40000.0,21725.0
540.83,24.84,2635.5994,75.4892,0.0298,3136.0,5523.0,1732165.6865711666,5773885.621903666,1154777.1243806668,2106.0035,118.9843,12.23,1.23,14.72,4.27,75918.0,40000.0,22621.0
997.31,24.81,2241.4226,75.4892,0.0298,3127.0,3880.0,1725195.5351099998,5750651.7837,1150130.35674,2104.7009,118.2139,9.63,0.98,13.11,2.64,70425.0,39724.0,19380.0
732.36,25.01,2439.4991,75.4892,0.0298,3845.0,3009.0,1691126.7492605,5637089.164201833,1127417.8328403335,2142.4593,121.2292,10.28,0.8,11.07,3.3,75177.0,48419.0,24793.0
613.43,24.86,2490.4417,75.4892,0.0298,4742.0,4006.0,1781011.2830831667,5936704.276944167,1187340.8553888334,2269.5607,128.47019999999998,9.72,0.55,15.23,1.61,91410.0,39845.0,20980.0
498.41,24.91,2534.1538,75.4892,0.0298,4300.0,5924.0,1744359.2774601665,5814530.9248675,1162906.1849735,2103.3821,118.9042,13.02,0.37,13.26,0.85,61770.0,37710.0,19627.0
638.29,25.1,47463.6098,77.2755,0.0304,3808.0,3041.0,1607527.2382065,5358424.127355333,1071684.8254711668,2099.3692,119.8822,14.45,0.28,11.23,1.41,91596.0,34091.0,23704.0
814.71,25.38,47449.1136,77.2755,0.0304,5177.0,3053.0,1659418.3407551665,5531394.4691835,1106278.8938368333,2186.265,123.8503,11.37,0.29,13.68,0.16,77113.0,34615.0,21837.0
650.42,25.35,47401.854999999996,77.2755,0.0304,4780.0,3261.0,1982313.8867175002,6607712.955724999,1321542.5911451667,2317.3361,132.4606,12.21,0.28,16.21,2.13,96729.0,37568.0,22341.0
658.38,25.05,47462.6455,77.2755,0.0304,3526.0,2849.0,2073606.056626167,6912020.188754,1382404.0377508334,2456.7558,139.1111,11.37,0.28,12.33,1.87,84401.0,37280.0,23745.0
545.1,24.97,47547.576199999996,77.2755,0.0304,3696.0,2659.0,1830606.9109881667,6102023.036627666,1220404.6073255,2384.7495,137.63639999999998,12.72,0.28,16.34,2.64,200000.0,39321.0,23248.0
795.68,25.11,47805.1238,77.2755,0.0304,5343.0,2841.0,2137845.5200875,7126151.733625333,1425230.3467251665,2340.6647000000003,132.2501,13.5,0.27,14.81,2.28,200000.0,28062.0,21116.0
716.49,25.0,48181.843,77.2755,0.0304,5079.0,3274.0,3040989.041848833,10136630.139496168,2027326.0278991666,3619.7796,207.905,13.77,0.27,17.18,2.48,200000.0,28715.0,24774.0
687.72,24.96,48267.077999999994,77.2755,0.0304,4128.0,2710.0,2576388.196263,8587960.65421,1717592.130842,3669.0562,208.2363,12.63,0.27,16.88,0.98,214815.0,13076.0,21928.0
683.33,25.56,48561.005300000004,77.2755,0.0304,4844.0,3375.0,2721710.433708333,9072368.112360666,1814473.6224721668,3524.9329000000002,201.9298,13.0,0.26,15.75,2.53,191199.0,19333.0,19849.0
675.6,25.41,48507.1729,74.7477,0.0296,5666.0,2625.0,2488726.4628728335,8295754.876243,1659150.9752486667,3542.0472,203.732,13.11,0.26,13.35,3.51,224279.0,42384.0,23209.0
648.35,25.21,28072.9678,69.6922,0.0278,5572.0,3140.0,2639219.012036,8797396.706786666,1759479.3413573334,3627.8449,210.3589,16.13,0.25,16.67,3.48,191690.0,39676.0,20117.0
816.77,24.92,27978.215,69.6922,0.0278,5897.0,4463.0,2593829.4352888335,8646098.1176295,1729219.6235258335,3600.4231,210.3817,19.48,0.25,20.33,3.57,203389.0,46643.0,19381.0
768.33,25.15,28222.1137,69.027,0.0276,6594.0,3625.0,2630383.735235333,8767945.784118,1753589.1568236668,3537.1873000000005,208.43040000000002,23.45,0.25,24.63,3.77,144262.0,39955.0,21772.0
627.23,25.11,28323.2952,69.027,0.0276,5853.0,4500.0,2688645.8236511666,8962152.745503666,1792430.5491006665,3582.2024,210.4144,19.3,0.25,20.04,4.39,140655.0,39543.0,21926.0
808.17,25.21,28567.9293,69.027,0.0276,6150.0,3700.0,2682855.7393265,8942852.464422,1788570.4928843332,3631.2288,209.0146,15.16,0.25,15.46,5.01,147043.0,39566.0,19059.0
712.17,25.56,4348.6943,69.027,0.0276,6215.0,4044.0,2961189.0184546667,9870630.061515667,1974126.0123031668,3925.1769999999997,229.0309,19.65,0.25,20.48,4.21,91520.0,34601.0,21648.0
1058.57,25.36,4554.8349,69.027,0.0276,8210.0,3367.0,2666846.2283788333,8889487.427929,1777897.4855856665,3665.5245,214.9241,25.34,0.25,25.33,7.13,91858.0,26717.0,18902.0
835.41,25.01,4329.4916,69.027,0.0276,7110.0,3580.0,2644006.4408118334,8813354.802705333,1762670.960541,3799.1560999999997,221.6972,18.77,0.25,20.74,4.59,86067.0,43366.0,20872.0
1146.13,25.45,4001.3119,71.1763,0.029,6284.0,3721.0,2854522.6654241667,9515075.551414166,1903015.1102828335,4368.2216,255.4819,22.05,0.25,23.7,6.74,92919.0,64255.0,17032.0
808.51,25.43,3678.1396999999997,71.1763,0.029,6747.0,3083.0,2979758.9673416666,9932529.891139334,1986505.978228,4449.9555,264.7563,29.06,0.25,25.89,4.82,105518.0,63973.0,21140.0
1029.13,25.23,,,,,,,,,,,,,,,,,
